t,u,reaTRoo_y,time,weaSta_reaWeaTDryBul_y,weaSta_reaWeaHDirNor_y,weaSta_reaWeaHGloHor_y,weaSta_reaWeaNTot_y,weaSta_reaWeaRelHum_y,weaSta_reaWeaSolAlt_y
866700.0,0.9823674248511527,294.9236963492917,866700.0,281.5161576704545,0.0,0.0,0.22227678571428566,0.888625,-1.0660860686414808
867600.0,0.0,295.9676411010746,867600.0,281.34999999999997,0.0,0.0,0.1,0.89,-1.0650967572182797
868500.0,0.0,295.5493386667024,868500.0,281.1795454545454,0.0,0.0,0.03772321428571429,0.8887053571428571,-1.0589807115794136
869400.0,0.2653156378962649,294.7040530863112,869400.0,280.99848484848485,0.0,0.0,0.019642857142857153,0.886547619047619,-1.047927218562677
870300.0,0.36748087763237436,294.3975573671029,870300.0,280.8181818181818,0.0,0.0,0.04174107142857145,0.8836160714285715,-1.0322573013799992
871200.0,0.6877944328331106,294.43661670150067,871200.0,280.65,0.0,0.0,0.1,0.88,-1.012383701730549
872100.0,0.5035426791882476,294.98937196243526,872100.0,280.496875,0.0,0.0,0.1953125,0.8735714285714287,-0.9887677311971221
873000.0,0.384971051278247,295.34508684616526,873000.0,280.3583333333333,0.0,0.0,0.3125,0.8642857142857143,-0.9618816161610781
873900.0,0.3881880075252866,295.33543597742414,873900.0,280.24062499999997,0.0,0.0,0.4234374999999999,0.8553571428571429,-0.9321808164406113
874800.0,0.410329939753448,295.26901018073966,874800.0,280.15,0.0,0.0,0.5,0.85,-0.9000869264244193
875700.0,0.4165100669022195,295.25046979929334,875700.0,280.1348214285714,0.0,0.0,0.55,0.85166015625,-0.8659794230368427
876600.0,0.4116177749215618,295.2651466752353,876600.0,280.1928571428571,0.0,0.0,0.6000000000000001,0.85859375,-0.8301937126815417
877500.0,0.40658241981024423,295.28025274056927,877500.0,280.2544642857143,0.0,0.0,0.65,0.86623046875,-0.7930230856831835
878400.0,0.07142683144076045,295.2857195056777,878400.0,280.25,0.0,0.0,0.7000000000000001,0.87,-0.7547227436852486
879300.0,0.23940609312001015,294.78178172063997,879300.0,280.18095238095236,0.0,0.0,0.7546875000000001,0.8685546875,-0.7155146664903453
880200.0,0.33611005312440057,294.4916698406268,880200.0,280.1015873015873,0.0,0.0,0.8125,0.865,-0.6755925745216502
881100.0,0.33880119183568996,294.48359642449293,881100.0,280.02142857142854,0.0,0.0,0.8640625000000001,0.8614453125,-0.6351265878288257
882000.0,0.32109721814542047,294.53670834556374,882000.0,279.95,0.0,0.0,0.9,0.86,-0.5942674022722723
882900.0,0.3133985895241456,294.55980423142756,882900.0,279.886328125,0.0,0.0,0.9140625,0.8619496783088235,-0.5531499322587279
883800.0,0.3141253311547795,294.55762400653566,883800.0,279.8274305555555,0.0,0.0,0.9125000000000001,0.8665533088235294,-0.5118964382752789
884700.0,0.31686055408359454,294.5494183377492,884700.0,279.7798177083333,0.0,0.0,0.9046875000000001,0.8728802849264706,-0.4706191896962344
885600.0,0.6529736926401786,294.54107892207946,885600.0,279.75,0.0,0.0,0.9,0.88,-0.42942272449625074
886500.0,0.494999757977439,295.0150007260677,886500.0,279.77666015625,0.0,0.0,0.909375,0.8935324754901961,-0.38840576733883125
887400.0,0.38154085216888234,295.35537744349335,887400.0,279.86484375,0.0,0.0,0.925,0.9147140522875817,-0.34766286179125516
